0,50,200
1,51,199
2,51,199
3,52,198
4,52,198
5,53,197
6,53,197
7,54,196
8,54,196
9,55,195
10,55,195
11,56,194
12,56,194
13,57,193
14,57,193
15,58,192
16,58,192
17,59,191
18,59,191
19,60,190
20,60,190
21,61,189
22,61,189
23,62,188
24,62,188
25,63,187
26,63,187
27,64,186
28,64,186
29,65,185
30,65,185
31,66,184
32,66,184
33,67,183
34,67,183
35,68,182
36,68,182
37,69,181
38,69,181
39,70,180
40,70,180
41,71,179
42,71,179
43,72,178
44,72,178
45,73,177
46,73,177
47,74,176
48,74,176
49,75,175
50,75,175
51,76,174
52,76,174
53,77,173
54,77,173
55,78,172
56,78,172
57,79,171
58,79,171
59,80,170
60,80,170
61,81,169
62,81,169
63,82,168
64,82,168
65,83,167
66,83,167
67,84,166
68,84,166
69,85,165
70,85,165
71,86,164
72,86,164
73,87,163
74,87,163
75,88,162
76,88,162
77,89,161
78,89,161
79,90,160
80,90,160
81,91,159
82,91,159
83,92,158
84,92,158
85,93,157
86,93,157
87,94,156
88,94,156
89,95,155
90,95,155
91,96,154
92,96,154
93,97,153
94,97,153
95,98,152
96,98,152
97,99,151
98,99,151
99,100,150
100,100,150
101,101,149
102,101,149
103,102,148
104,102,148
105,103,147
106,103,147
107,104,146
108,104,146
109,105,145
110,105,145
111,106,144
112,106,144
113,107,143
114,107,143
115,108,142
116,108,142
117,109,141
118,109,141
119,110,140
120,110,140
121,111,139
122,111,139
123,112,138
124,112,138
125,113,137
126,113,137
127,114,136
128,114,136
129,115,135
130,115,135
131,116,134
132,116,134
133,117,133
134,117,133
135,118,132
136,118,132
137,119,131
138,119,131
139,120,130
140,120,130
141,121,129
142,121,129
143,122,128
144,122,128
145,123,127
146,123,127
147,124,126
148,124,126
149,125,125
150,125,125
151,126,125
152,126,125
153,127,126
154,127,126
155,128,127
156,128,127
157,129,128
158,129,128
159,130,129
160,130,129
161,131,130
162,131,130
163,132,131
164,132,131
165,133,132
166,133,132
167,134,133
168,134,133
169,135,134
170,135,134
171,136,135
172,136,135
173,137,136
174,137,136
175,138,137
176,138,137
177,139,138
178,139,138
179,140,139
180,140,139
181,141,140
182,141,140
183,142,141
184,142,141
185,143,142
186,143,142
187,144,143
188,144,143
189,145,144
190,145,144
191,146,145
192,146,145
193,147,146
194,147,146
195,148,147
196,148,147
197,149,148
198,149,148
199,150,149
200,150,149
201,151,150
202,151,150
203,152,151
204,152,151
205,153,152
206,153,152
207,154,153
208,154,153
209,155,154
210,155,154
211,156,155
212,156,155
213,157,156
214,157,156
215,158,157
216,158,157
217,159,158
218,159,158
219,160,159
220,160,159
221,161,160
222,161,160
223,162,161
224,162,161
225,163,162
226,163,162
227,164,163
228,164,163
229,165,164
230,165,164
231,166,165
232,166,165
233,167,166
234,167,166
235,168,167
236,168,167
237,169,168
238,169,168
239,170,169
240,170,169
241,171,170
242,171,170
243,172,171
244,172,171
245,173,172
246,173,172
247,174,173
248,174,173
249,175,174
250,175,174
251,176,175
252,176,175
253,177,176
254,177,176
255,178,177
256,178,177
257,179,178
258,179,178
259,180,179
260,180,179
261,181,180
262,181,180
263,182,181
264,182,181
265,183,182
266,183,182
267,184,183
268,184,183
269,185,184
270,185,184
271,186,185
272,186,185
273,187,186
274,187,186
275,188,187
276,188,187
277,189,188
278,189,188
279,190,189
280,190,189
281,191,190
282,191,190
283,192,191
284,192,191
285,193,192
286,193,192
287,194,193
288,194,193
289,195,194
290,195,194
291,196,195
292,196,195
293,197,196
294,197,196
295,198,197
296,198,197
297,199,198
298,199,198
299,200,199
300,200,199
301,201,200
302,201,200
303,202,201
304,202,201
305,203,202
306,203,202
307,204,203
308,204,203
309,205,204
310,205,204
311,206,205
312,206,205
313,207,206
314,207,206
315,208,207
316,208,207
317,209,208
318,209,208
319,210,209
320,210,209
321,211,210
322,211,210
323,212,211
324,212,211
325,213,212
326,213,212
327,214,213
328,214,213
329,215,214
330,215,214
331,216,215
332,216,215
333,217,216
334,217,216
335,218,217
336,218,217
337,219,218
338,219,218
339,220,219
340,220,219
341,221,220
342,221,220
343,222,221
344,222,221
345,223,222
346,223,222
347,224,223
348,224,223
349,225,224
350,225,224
351,226,225
352,226,225
353,227,226
354,227,226
355,228,227
356,228,227
357,229,228
358,229,228
359,230,229
360,230,229
361,231,230
362,231,230
363,232,231
364,232,231
365,233,232
366,233,232
367,234,233
368,234,233
369,235,234
370,235,234
371,236,235
372,236,235
373,237,236
374,237,236
375,238,237
376,238,237
377,239,238
378,239,238
379,240,239
380,240,239
381,241,240
382,241,240
383,242,241
384,242,241
385,243,242
386,243,242
387,244,243
388,244,243
389,245,244
390,245,244
391,246,245
392,246,245
393,247,246
394,247,246
395,248,247
396,248,247
397,249,248
398,249,248
399,250,249
400,250,249
401,251,250
402,251,250
403,252,251
404,252,251
405,253,252
406,253,252
407,254,253
408,254,253
409,255,254
410,255,254
411,256,255
412,256,255
413,257,256
414,257,256
415,258,257
416,258,257
417,259,258
418,259,258
419,260,259
420,260,259
421,261,260
422,261,260
423,262,261
424,262,261
425,263,262
426,263,262
427,264,263
428,264,263
429,265,264
430,265,264
431,266,265
432,266,265
433,267,266
434,267,266
435,268,267
436,268,267
437,269,268
438,269,268
439,270,269
440,270,269
441,271,270
442,271,270
443,272,271
444,272,271
445,273,272
446,273,272
447,274,273
448,274,273
449,275,274
450,275,274
451,276,275
452,276,275
453,277,276
454,277,276
455,278,277
456,278,277
457,279,278
458,279,278
459,280,279
460,280,279
461,281,280
462,281,280
463,282,281
464,282,281
465,283,282
466,283,282
467,284,283
468,284,283
469,285,284
470,285,284
471,286,285
472,286,285
473,287,286
474,287,286
475,288,287
476,288,287
477,289,288
478,289,288
479,290,289
480,290,289
481,291,290
482,291,290
483,292,291
484,292,291
485,293,292
486,293,292
487,294,293
488,294,293
489,295,294
490,295,294
491,296,295
492,296,295
493,297,296
494,297,296
495,298,297
496,298,297
497,299,298
498,299,298
499,300,299
500,300,299
501,301,300
502,301,300
503,302,301
504,302,301
505,303,302
506,303,302
507,304,303
508,304,303
509,305,304
510,305,304
511,306,305
512,306,305
513,307,306
514,307,306
515,308,307
516,308,307
517,309,308
518,309,308
519,310,309
520,310,309
521,311,310
522,311,310
523,312,311
524,312,311
525,313,312
526,313,312
527,314,313
528,314,313
529,315,314
530,315,314
531,316,315
532,316,315
533,317,316
534,317,316
535,318,317
536,318,317
537,319,318
538,319,318
539,320,319
540,320,319
541,321,320
542,321,320
543,322,321
544,322,321
545,323,322
546,323,322
547,324,323
548,324,323
549,325,324
550,325,324
551,326,325
552,326,325
553,327,326
554,327,326
555,328,327
556,328,327
557,329,328
558,329,328
559,330,329
560,330,329
561,331,330
562,331,330
563,332,331
564,332,331
565,333,332
566,333,332
567,334,333
568,334,333
569,335,334
570,335,334
571,336,335
572,336,335
573,337,336
574,337,336
575,338,337
576,338,337
577,339,338
578,339,338
579,340,339
580,340,339
581,341,340
582,341,340
583,342,341
584,342,341
585,343,342
586,343,342
587,344,343
588,344,343
589,345,344
590,345,344
591,346,345
592,346,345
593,347,346
594,347,346
595,348,347
596,348,347
597,349,348
598,349,348
599,350,349
