planner,caught,time,moves,cost,wall_s,exit_code
hybrid,1,4672,1235,4451784,2.376,0
multigoal,1,4672,1235,4451784,3.023,0
bfs,1,952,952,4577351,1.979,0
direct,0,5244,-1,17682768,6.881,0
greedy,0,5244,1875,30698406,2.224,0
