planner,caught,time,moves,cost,wall_s,exit_code
hybrid,1,88,87,1522,0.721,0
multigoal,1,88,87,1522,0.269,0
bfs,1,140,0,2800,0.358,0
direct,1,70,70,3050,0.225,0
greedy,1,93,47,3780,0.539,0
